Job Title,Updated Date,Location,Company,Min Salary,Max Salary
Agile / Scrum Master (m/w/d),2025-03-06T22:26:54Z,Bochum,CompuGroup Medical SE,51000,77500
Senior Analytics Architect (m/f/d),2025-03-06T22:26:40Z,Koblenz,CompuGroup Medical SE,51500,87500
Senior Analytics Architect (m/w/d),2025-03-06T22:26:40Z,Koblenz,CompuGroup Medical SE,51500,87500
Datathon Pioneers: Deine Idee für Digital Health,2025-03-06T22:26:31Z,Heidelberg,CompuGroup Medical SE,36500,54500
IT-Administrator/-in (m/w/d),2025-03-06T21:42:57Z,München,Hochschule für angewandte Wissenschaften München,45000,59500
Master CIC Business Administration (m/w/d) in Magdeburg,2025-03-06T21:23:46Z,Magdeburg,IBM Client Innovation Center Germany GmbH,49000,65500
Softwareentwickler:in,2025-03-06T21:21:40Z,Soest,eXXcellent solutions,45000,68500
Cloud Operations Manager (m/w/d),2025-03-06T21:05:16Z,Freiburg im Breisgau,Jedox AG,50000,71000
Mitarbeiter (m/w/d) Anwendungssupport und Schulungen,2025-03-06T17:41:37Z,Velbert,Schulte-Schlagbaum Gruppe,40500,54500
Business Analyst/ Requirements Engineer (w/m/d),2025-03-06T17:14:26Z,Berlin,GEBIT Solutions GmbH,51500,87500
Fullstack Engineer (f/m/d) - Node.js & Angular,2025-03-06T17:06:17Z,Berlin,SAP Leanix,63000,106000
Android Engineer(d/f/m),2025-03-06T17:06:14Z,Berlin,Gymondo GmbH,48000,67500
PHP Symfony Entwickler (m/w/d),2025-03-06T17:05:38Z,Potsdam,Amadeus Fire AG,55000,65000
Business Analyst/ Requirements Engineer (w/m/d),2025-03-06T17:02:08Z,Stuttgart,GEBIT Solutions GmbH,52000,81500
SAS Entwickler (m/w/d),2025-03-06T14:45:13Z,Frankfurt am Main,Finanz Informatik GmbH & Co. KG,45000,85000
Anwendungsfachverantwortlicher für das Informationsrisikomanagement (m/w/d),2025-03-06T14:45:03Z,Hannover,Finanz Informatik GmbH & Co. KG,45000,85000
Linux Systemspezialist (m/w/d),2025-03-06T14:44:53Z,Frankfurt am Main,Finanz Informatik GmbH & Co. KG,45000,85000
Test APi,2025-03-06T14:17:07Z,Pfinztal,race result AG,46000,64000
Laboringenieur*in / Informatiker*in für die Technische Informatik und Labormanagement,2025-03-06T12:26:42Z,Esslingen am Neckar,Hochschule Esslingen,42000,53000
Backend-Entwickler*in (m/w/d),2025-03-06T12:07:42Z,Würzburg,IT-Projektschmiede,47500,72500
Frontend Entwickler*in (m/w/d),2025-03-06T12:07:29Z,Würzburg,IT-Projektschmiede,45000,63500
Administrator (w/m/d) Vollzeit / Teilzeit,2025-03-06T09:31:20Z,Erfurt,BALY GmbH,38000,54500
Anwendungsentwickler Powerbuilder oder C++ (m/w/d),2025-03-06T09:29:48Z,Sankt Wolfgang,uhb Software GmbH,47000,68500
DevOps Platform-Engineer - 100% Remote (m/f/d),2025-03-06T09:06:51Z,Hannover,Digistore24,51000,74500
IT Service Manager (Cloud) / System Admin - 100% Remote (m/w/d),2025-03-06T09:06:51Z,Hannover,Digistore24,50000,70500
Kundenbetreuer 2nd Level - 100% Remote (m/w/d),2025-03-06T09:06:51Z,Hannover,Digistore24,34000,45500
Blockchain Developer - Rust/Solana+EVM,2025-03-06T09:06:36Z,Rosenheim,Syntivis AG,48500,70500
Senior PHP-Developer (m/w/d),2025-03-06T08:51:51Z,Augsburg,FALKEN Group,70000,82000
Software Engineer (Graphics),2025-03-06T06:09:06Z,München,Dassault Systèmes,60500,90000
Expert Developer for SAP Sustainability Control Tower (f/m/d),2025-03-06T04:21:22Z,Garching an der Alz,SAP,57500,87500
(Senior) Developer for SAP Sustainability Control Tower (f/m/d),2025-03-06T04:19:52Z,Garching an der Alz,SAP,57000,89000
Initiativ: [Senior] Developer .NET Core | .NET 5.0 | C# (m/w/d) in Dresden,2025-03-06T04:17:20Z,Dresden,Kontext E GmbH,40000,58000
Initiativ: Developer | Entwickler | Java | JVM (m/w/d) in Dresden,2025-03-06T04:16:37Z,Dresden,Kontext E GmbH,41500,58500
System Administrator (Allrounder) - (f/m/d),2025-03-06T03:54:25Z,Dresden,camLine GmbH,49500,66500
