Job Title;Updated Date;Company;Min Salary;Max Salary;Cleaned_City;Latitude;Longitude;country;State
Cloud Monitoring Specialist (m/w/d) 632002;2025-04-10T23:42:53Z;Anstalt fÃ¼r Kommunale Datenverarbeitung in Bayern (AKDB);;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
Linux Administrator (*gn);2025-04-10T22:24:21Z;VIER GmbH;;;berlin;525167;133833;Germany;Berlin
Senior Linux Engineer (x64/ARM,Operating System)â€“ REMOTE;2025-04-10T22:23:06Z;Stratodesk Software GmbH;;;ulm;483984;99916;Germany;Baden-Württemberg
IT-SystemÂ­administrator (m/w/d) Container-Technologie;2025-04-10T22:12:04Z;AKDB Anstalt fÃ¼r kommunale Datenverarbeitung in Bayern;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
System Engineer (m/w/d) - Cloud;2025-04-10T22:10:07Z;SHD Group Holding GmbH;;;essen;514508;70131;Germany;North Rhine-Westphalia
Junior IT Systemadministrator (m/w/d);2025-04-10T22:03:52Z;DAP GmbH;;;passau;485667;134667;Germany;Bavaria
Senior Web-Entwickler (m/w/d) Vue.js, TypeScript;2025-04-10T21:41:26Z;Bissantz & Company GmbH;;;arnsberg;513967;80644;Germany;North Rhine-Westphalia
Mitarbeiter technischer Support (m/w/d);2025-04-10T21:27:24Z;solutio GmbH & Co. KG;;;lingen;525233;73172;Germany;Lower Saxony
Data Engineer â€“ Nachhaltigkeit & KI (m/f/d);2025-04-10T21:19:37Z;iPoint-systems gmbh;;;reutlingen;484833;92167;Germany;Baden-Württemberg
DevOps Engineer â€“ Linux (f/m/x);2025-04-10T21:05:05Z;HeavenHR GmbH;;;landau;491994;81231;Germany;Rhineland-Palatinate
DevOps Engineer (f/m/d) - SAP Sovereign Cloud;2025-04-10T19:09:26Z;SAP;;;berlin;525167;133833;Germany;Berlin
(Junior) DevOps Engineer (m/w/d);2025-04-10T16:32:18Z;AKDB Anstalt fÃ¼r kommunale Datenverarbeitung in Bayern;;;landshut;485397;121508;Germany;Bavaria
(Junior) DevOps Engineer (m/w/d);2025-04-10T16:32:18Z;AKDB Anstalt fÃ¼r kommunale Datenverarbeitung in Bayern;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
(Junior) DevOps Engineer (m/w/d);2025-04-10T16:32:18Z;AKDB Anstalt fÃ¼r kommunale Datenverarbeitung in Bayern;;;bayreuth;499481;115783;Germany;Bavaria
(Junior) DevOps Engineer (m/w/d);2025-04-10T16:32:18Z;AKDB Anstalt fÃ¼r kommunale Datenverarbeitung in Bayern;;;würzburg;497944;99294;Germany;Bavaria
Systemadministrator*in/IT Infrastruktur Spezialist*in(w/m/d) - FakultÃ¤t Elektrotechnik und Informati;2025-04-10T16:26:16Z;Ilmenau University of Technology;;;ilmenau;506872;109142;Germany;Thuringia
IT-Support-Mitarbeiter (m/w/d);2025-04-10T16:13:19Z;DIS AG;;;frankfurt;501136;86797;Germany;Hesse
Senior Backend Developer * Python;2025-04-10T16:06:46Z;NEXT Data Service AG;;;berlin;525167;133833;Germany;Berlin
