city;lat;lng;country;State/admin
Emsdetten;521728;75344;Germany;North Rhine-Westphalia
Tuttlingen;479850;88233;Germany;Baden-Württemberg
Sankt Ingbert;493000;71167;Germany;Saarland
Porta Westfalica;522167;89333;Germany;North Rhine-Westphalia
Sinsheim;492500;88833;Germany;Baden-Württemberg
Meppen;526906;72910;Germany;Lower Saxony
Limburg;503833;80667;Germany;Hesse
Ingelheim;499747;80564;Germany;Rhineland-Palatinate
Lage;519833;88000;Germany;North Rhine-Westphalia
Cloppenburg;528478;80439;Germany;Lower Saxony
Winsen;533667;102167;Germany;Lower Saxony
Mörfelden-Walldorf;499896;85661;Germany;Hesse
Wermelskirchen;511392;72051;Germany;North Rhine-Westphalia
Datteln;516539;73417;Germany;North Rhine-Westphalia
Kempen;513658;64194;Germany;North Rhine-Westphalia
Saarlouis;493167;67500;Germany;Saarland
Leer;532308;74528;Germany;Lower Saxony
Seelze;523961;95981;Germany;Lower Saxony
Crailsheim;491347;100706;Germany;Baden-Württemberg
Barsinghausen;523031;94606;Germany;Lower Saxony
Balingen;482731;88506;Germany;Baden-Württemberg
Zweibrücken;492494;73608;Germany;Rhineland-Palatinate
Viernheim;495380;85792;Germany;Hesse
Steinfurt;521504;73366;Germany;North Rhine-Westphalia
Merseburg;513544;119928;Germany;Saxony-Anhalt
Hemer;513833;77667;Germany;North Rhine-Westphalia
Dietzenbach;500086;87756;Germany;Hesse
Radebeul;511033;136700;Germany;Saxony
Bad Vilbel;501781;87361;Germany;Hesse
Geldern;515197;63325;Germany;North Rhine-Westphalia
Goch;516839;61619;Germany;North Rhine-Westphalia
Kornwestheim;488597;91850;Germany;Baden-Württemberg
Uelzen;529647;105658;Germany;Lower Saxony
Deggendorf;488353;129644;Germany;Bavaria
Wedel;535833;97000;Germany;Schleswig-Holstein
Ahrensburg;536747;102411;Germany;Schleswig-Holstein
Rheinfelden (Baden);475611;77917;Germany;Baden-Württemberg
Korschenbroich;511833;65167;Germany;North Rhine-Westphalia
Biberach;480981;97886;Germany;Baden-Württemberg
Wernigerode;518350;107853;Germany;Saxony-Anhalt
Bernburg;518000;117333;Germany;Saxony-Anhalt
Jülich;509222;63583;Germany;North Rhine-Westphalia
Lampertheim;495942;84671;Germany;Hesse
Vechta;527306;82886;Germany;Lower Saxony
Naumburg;511521;118098;Germany;Saxony-Anhalt
Forchheim;497197;110581;Germany;Bavaria
Bad Nauheim;503667;87500;Germany;Hesse
Hoyerswerda;514331;142500;Germany;Saxony
Altenburg;509850;124333;Germany;Thuringia
Delbrück;517667;85667;Germany;North Rhine-Westphalia
Fürstenwalde;523667;140667;Germany;Brandenburg
Achim;530130;90330;Germany;Lower Saxony
Itzehoe;539250;95164;Germany;Schleswig-Holstein
Georgsmarienhütte;522031;80447;Germany;Lower Saxony
Herrenberg;485967;88708;Germany;Baden-Württemberg
Oer-Erkenschwick;516422;72508;Germany;North Rhine-Westphalia
Radolfzell am Bodensee;477369;89697;Germany;Baden-Württemberg
Kreuztal;509620;80064;Germany;North Rhine-Westphalia
Rheinberg;515467;66006;Germany;North Rhine-Westphalia
Bramsche;524089;79728;Germany;Lower Saxony
Neuruppin;529222;128000;Germany;Brandenburg
Einbeck;518167;98667;Germany;Lower Saxony
Werl;515528;79139;Germany;North Rhine-Westphalia
Schönebeck;520167;117500;Germany;Saxony-Anhalt
Burgdorf;524500;100083;Germany;Lower Saxony
Gevelsberg;513265;73559;Germany;North Rhine-Westphalia
Geesthacht;534381;103747;Germany;Schleswig-Holstein
Haan;511931;70131;Germany;North Rhine-Westphalia
Lohmar;508415;72166;Germany;North Rhine-Westphalia
Osterholz-Scharmbeck;532269;87947;Germany;Lower Saxony
Weil am Rhein;475947;76108;Germany;Baden-Württemberg
Ennepetal;513021;73425;Germany;North Rhine-Westphalia
Riesa;513081;132939;Germany;Saxony
Taunusstein;501435;81606;Germany;Hesse
Andernach;504397;74017;Germany;Rhineland-Palatinate
Meschede;513503;82836;Germany;North Rhine-Westphalia
Schwedt (Oder);530631;142831;Germany;Brandenburg
Friedberg;483500;109833;Germany;Bavaria
Bad Hersfeld;508683;97067;Germany;Hesse
Gaggenau;488039;83194;Germany;Baden-Württemberg
Merzig;494471;66312;Germany;Saarland
Neuburg;487333;111833;Germany;Bavaria
Derne;516667;76167;Germany;North Rhine-Westphalia
Vaihingen an der Enz;489328;89564;Germany;Baden-Württemberg
Rietberg;518000;84333;Germany;North Rhine-Westphalia
Saalfeld;506506;113542;Germany;Thuringia
Bretten;490364;87061;Germany;Baden-Württemberg
Waltrop;516167;73833;Germany;North Rhine-Westphalia
Oelde;518258;81436;Germany;North Rhine-Westphalia
Tönisvorst;513208;64931;Germany;North Rhine-Westphalia
Güstrow;537939;121764;Germany;Mecklenburg-Western Pomerania
Friedberg;503353;87550;Germany;Hesse
Landsberg;480528;108689;Germany;Bavaria
Northeim;517067;100011;Germany;Lower Saxony
Kelkheim (Taunus);501380;84525;Germany;Hesse
Springe;522167;95500;Germany;Lower Saxony
Unterschleißheim;482833;115667;Germany;Bavaria
Bühl;486953;81350;Germany;Baden-Württemberg
Schwandorf;493236;120993;Germany;Bavaria
Höxter;517667;93667;Germany;North Rhine-Westphalia
Rösrath;509000;71833;Germany;North Rhine-Westphalia
Schwelm;512904;72972;Germany;North Rhine-Westphalia
Rendsburg;543044;96644;Germany;Schleswig-Holstein
Steinheim am Main;501257;88300;Germany;Hesse
Winnenden;488764;93978;Germany;Baden-Württemberg
Idar-Oberstein;497019;73253;Germany;Rhineland-Palatinate
Bad Neuenahr-Ahrweiler;505447;71133;Germany;Rhineland-Palatinate
Grimma;512386;127253;Germany;Saxony
Wegberg;511333;62667;Germany;North Rhine-Westphalia
Geislingen an der Steige;486244;98306;Germany;Baden-Württemberg
Königsbrunn;482689;108908;Germany;Bavaria
Meißen;511636;134775;Germany;Saxony
Leichlingen;511167;70167;Germany;North Rhine-Westphalia
Kevelaer;515833;62500;Germany;North Rhine-Westphalia
Zeitz;510478;121383;Germany;Saxony-Anhalt
Emmendingen;481214;78492;Germany;Baden-Württemberg
Sundern;513167;80000;Germany;North Rhine-Westphalia
Baunatal;512589;94183;Germany;Hesse
Olching;482000;113167;Germany;Bavaria
Reinbek;535089;102483;Germany;Schleswig-Holstein
Mechernich;506000;66500;Germany;North Rhine-Westphalia
Wetter (Ruhr);513881;73950;Germany;North Rhine-Westphalia
Griesheim;498594;85525;Germany;Hesse
Arnstadt;508342;109464;Germany;Thuringia
Aschersleben;517500;114667;Germany;Saxony-Anhalt
Geilenkirchen;509653;61194;Germany;North Rhine-Westphalia
Rheinbach;506256;69491;Germany;North Rhine-Westphalia
Overath;509500;73000;Germany;North Rhine-Westphalia
Baesweiler;509000;61833;Germany;North Rhine-Westphalia
Neustadt;488111;93656;Germany;Baden-Württemberg
Leimen;493481;86911;Germany;Baden-Württemberg
Wangen im Allgäu;476858;98342;Germany;Baden-Württemberg
Schloß Holte-Stukenbrock;518833;86167;Germany;North Rhine-Westphalia
Lohne;526667;82386;Germany;Lower Saxony
Wiesloch;492942;86983;Germany;Baden-Württemberg
Hamminkeln;517319;65908;Germany;North Rhine-Westphalia
Strausberg;525808;138814;Germany;Brandenburg
Lauf;495103;112772;Germany;Bavaria
Neckarsulm;491917;92244;Germany;Baden-Württemberg
Heiligenhaus;513265;69710;Germany;North Rhine-Westphalia
Sangerhausen;514667;113000;Germany;Saxony-Anhalt
Hennigsdorf;526378;132036;Germany;Brandenburg
Ehingen an der Donau;482833;97236;Germany;Baden-Württemberg
Butzbach;504367;86622;Germany;Hesse
Nordenham;535000;84667;Germany;Lower Saxony
Hohen Neuendorf;526667;132831;Germany;Brandenburg
Ludwigsfelde;522997;132667;Germany;Brandenburg
Mühlacker;489500;88392;Germany;Baden-Württemberg
Heppenheim;496415;86450;Germany;Hesse
Selm;516833;74833;Germany;North Rhine-Westphalia
Weiterstadt;499000;86000;Germany;Hesse
Pfaffenhofen;485333;115167;Germany;Bavaria
Kulmbach;501000;114333;Germany;Bavaria
